prefixed_root,prefixes,unprefixed_root,hom
pratiprayuj,prati-pra,yuj,1
pratipraviS,prati-pra,viS,
pratiprasU,prati-pra,sU,1
pratiprasfp,prati-pra,sfp,
pratiprahi,prati-pra,hi,1
pratiprAyA,prati-prA,yA,1
pratiprAs,prati-prA,as,1
pratiPal,prati,Pal,
pratibanD,prati,banD,
pratibAD,prati,bAD,
pratibuD,prati,buD,
pratibrU,prati,brU,
pratiBakz,prati,Bakz,
pratiBaj,prati,Baj,
pratiBaYj,prati,BaYj,1
pratiBaR,prati,BaR,
pratiBA,prati,BA,1
pratiBAz,prati,BAz,1
pratiBAs,prati,BAs,1
pratiBid,prati,Bid,1
pratiBuj,prati,Buj,1
pratiBU,prati,BU,1
pratiBUz,prati,BUz,
pratiBf,prati,Bf,1
pratiman,prati,man,
pratimantr,prati,mantr,
pratimA,prati,mA,2
pratimih,prati,mih,1
pratimIv,prati,mIv,1
pratimuc,prati,muc,1
pratimud,prati,mud,1
pratiyaj,prati,yaj,1
pratiyat,prati,yat,2
pratiyam,prati,yam,
pratiyA,prati,yA,1
pratiyu,prati,yu,1
pratiyuj,prati,yuj,1
pratiyuD,prati,yuD,1
pratirakz,prati,rakz,1
pratirap,prati,rap,
pratiram,prati,ram,
pratiras,prati,ras,1
pratirAj,prati,rAj,1
pratirih,prati,rih,
pratiru,prati,ru,1
pratiruc,prati,ruc,1
pratiruD,prati,ruD,1
pratiruh,prati,ruh,1
pratil,pra,til,1
pratilaB,prati,laB,
pratiliK,prati,liK,
prativac,prati,vac,
prativad,prati,vad,
prativap,prati,vap,1
prativas,prati,vas,2
prativas,prati,vas,2
prativah,prati,vah,1
prativAS,prati,vAS,
prativijYA,prati-vi,jYA,1
prativid,prati,vid,1
prativid,prati,vid,1
prativiDA,prati-vi,DA,1
prativinud,prati-vi,nud,
prativiparI,prati-vi-pari,i,5
prativibuD,prati-vi,buD,
prativiram,prati-vi,ram,
prativisfj,prati-vi,sfj,1
prativihA,prati-vi,hA,2
prativI,prati,vI,1
prativIkz,prati-vi,Ikz,
prativf,prati,vf,1
prativfj,prati,vfj,1
prativft,prati,vft,1
prativfz,prati,vfz,
prativezw,prati,vezw,
prativyaD,prati,vyaD,
prativraj,prati,vraj,
pratiSaMs,prati,SaMs,
pratiSaNk,prati,SaNk,
pratiSap,prati,Sap,3
pratiSuc,prati,Suc,1
pratiSuz,prati,Suz,1
pratiSF,prati,SF,
pratiSru,prati,Sru,1
pratizaYj,prati,saYj,1
pratizic,prati,sic,1
pratiziD,prati,siD,1
pratiziv,prati,siv,
pratizkaB,prati,skaB,
pratizku,prati,sku,
pratizwuB,prati,stuB,1
pratizWA,prati,sTA,1
pratizWiv,prati,zWiv,
pratizvad,prati,svad,
pratisaMkram,prati-sam,kram,
pratisaMgrah,prati-sam,grah,
pratisaMcar,prati-sam,car,
pratisaMjYA,prati-sam,jYA,1
pratisaMdiS,prati-sam,diS,1
pratisaMDA,prati-sam,DA,1
pratisaMyat,prati-sam,yat,2
pratisaMraB,prati-sam,raB,
pratisaMvad,prati-sam,vad,
pratisaMvid,prati-sam,vid,1
pratisaMvezw,prati-sam,vezw,
pratisaMSri,prati-sam,Sri,1
pratisaMsfj,prati-sam,sfj,1
pratisaMsmf,prati-sam,smf,2
pratisaMhf,prati-sam,hf,1
pratisaMhfz,prati-sam,hfz,
pratisac,prati,sac,1
pratisad,prati,sad,2
pratisamas,prati-sam,as,1
pratisamAdiS,prati-sam-A,diS,1
pratisamADA,prati-sam-A,DA,1
pratisamAs,prati-sam,As,2
pratisaminD,prati-sam,inD,
pratisamIkz,prati-sam,Ikz,
pratisamBU,prati-sam,BU,1
pratisah,prati,sah,1
pratisf,prati,sf,
pratisfj,prati,sfj,1
pratisfp,prati,sfp,
pratisev,prati,sev,
pratiskF,prati-s,kF,1
pratistamB,prati,stamB,
pratisparD,prati,sparD,
pratisPur,prati,sPur,1
pratismf,prati,smf,2
pratisvan,prati,svan,1
pratihan,prati,han,1
pratihary,prati,hary,
pratihA,prati,hA,2
pratihu,prati,hu,1
pratihf,prati,hf,1
pratihfz,prati,hfz,
pratihez,prati,hez,1
pratihve,prati,hve,
pratI,prati,i,5
pratIkz,prati,Ikz,
pratIq,prati,Iq,1
pratInv,prati,inv,
pratIr,prati,Ir,
pratIz,prati,iz,1
pratud,pra,tud,1
pratuz,pra,tuz,
pratF,pra,tF,
pratyakzavizayIBU,pratyakzavizayI,BU,1
pratyaYj,prati,aYj,
pratyad,prati,ad,1
pratyaDiSri,prati-aDi,Sri,1
pratyaDI,prati-aDi,i,5
pratyanujYA,prati-anu,jYA,1
pratyanunI,prati-anu,nI,2
pratyanuBU,prati-anu,BU,1
pratyanuyAc,prati-anu,yAc,
pratyanusmf,prati-anu,smf,2
pratyapayA,prati-apa,yA,1
pratyapavah,prati-apa,vah,1
pratyaporRu,prati-apa-A,UrRu,
pratyaBicar,prati-aBi,car,
pratyaBijYA,prati-aBi,jYA,1
pratyaBiDA,prati-aBi,DA,1
pratyaBiDAv,prati-aBi,DAv,1
pratyaBinand,prati-aBi,nand,
pratyaBiprasTA,prati-aBipra,sTA,1
pratyaBimiT,prati-aBi,miT,
pratyaBimfS,prati-aBi,mfS,1
pratyaBiyA,prati-aBi,yA,1
pratyaBiyuj,prati-aBi,yuj,1
pratyaBivad,prati-aBi,vad,
pratyarc,prati,arc,1
pratyarT,prati,arT,
pratyavagam,prati-ava,gam,1
pratyavagrah,prati-ava,grah,
pratyavatF,prati-ava,tF,
pratyavado,prati-ava,do,
pratyavaDA,prati-ava,DA,1
pratyavaBAz,prati-ava,BAz,1
pratyavaBuj,prati-ava,Buj,1
pratyavamfS,prati-ava,mfS,1
pratyavamfz,prati-ava,mfz,1
pratyavaruh,prati-ava,ruh,1
pratyavasad,prati-ava,sad,2
pratyavasfj,prati-ava,sfj,1
pratyavasfp,prati-ava,sfp,
pratyavaso,prati-ava,so,1
pratyavasTA,prati-ava,sTA,1
pratyavahan,prati-ava,han,1
pratyavAp,prati-ava-A,Ap,1
pratyave,prati-ava-A,i,5
pratyavekz,prati-ava,Ikz,
pratyas,prati,as,1
pratyas,prati,as,2
pratyAkANkz,prati-A,kANkz,
pratyAkfz,prati-A,kfz,1
pratyAkram,prati-A,kram,
pratyAkruS,prati-A,kruS,
pratyAKyA,prati-A,KyA,
pratyAgam,prati-A,gam,1
pratyAgF,prati-A,gF,1
pratyAcakz,prati-A,cakz,
pratyAjan,prati-A,jan,
pratyAtan,prati-A,tan,1
pratyAdA,prati-A,dA,1
pratyAdiS,prati-A,diS,1
pratyAdf,prati-A,df,
pratyAdru,prati-A,dru,1
pratyAnah,prati-A,nah,1
pratyAnI,prati-A,nI,2
pratyAbrU,prati-A,brU,
pratyABU,prati-A,BU,1
pratyAyA,prati-A,yA,1
pratyAlaB,prati-A,laB,
pratyAliNg,prati-A,liNg,
pratyAlI,prati-A,lI,1
pratyAvap,prati-A,vap,2
pratyAvft,prati-A,vft,1
pratyAvraj,prati-A,vraj,
pratyASaMs,prati-A,SaMs,
pratyASI,prati-A,SI,1
pratyASvas,prati-A,Svas,1
pratyAs,prati,As,2
pratyAsad,prati-A,sad,2
pratyAsev,prati-A,sev,
pratyAsTA,prati-A,sTA,1
pratyAhan,prati-A,han,1
pratyAhf,prati-A,hf,1
pratyAhve,prati-A,hve,
pratyukz,prati,ukz,1
pratyuccar,prati-ud,car,
pratyucCri,prati-ud,Sri,1
pratyujjIv,prati-ud,jIv,
pratyuttamB,prati-ud,stamB,
pratyutTA,prati-ud,sTA,1
pratyutpA,prati-ud,pA,5
pratyutsad,prati-ud,sad,2
pratyudAvraj,prati-ud-A,vraj,
pratyudAhf,prati-ud-A,hf,1
pratyudi,prati-ud,i,5
pratyudIkz,prati-ud,Ikz,
pratyudgam,prati-ud,gam,1
pratyudgrah,prati-ud,grah,
pratyuddIp,prati-ud,dIp,
pratyudyam,prati-ud,yam,
pratyudyA,prati-ud,yA,1
pratyudvraj,prati-ud,vraj,
pratyunmiz,prati-ud,miz,1
pratyupakf,prati-upa,kf,1
pratyupakram,prati-upa,kram,
pratyupagam,prati-upa,gam,1
pratyupadiS,prati-upa,diS,1
pratyupadru,prati-upa,dru,1
pratyupaDA,prati-upa,DA,1
pratyupaBuj,prati-upa,Buj,1
pratyupayA,prati-upa,yA,1
pratyupaviS,prati-upa,viS,
pratyupavraj,prati-upa,vraj,
pratyupasf,prati-upa,sf,
pratyupasTA,prati-upa,sTA,1
pratyupaspfS,prati-upa,spfS,1
pratyupahve,prati-upa,hve,
pratyupADA,prati-upa-A,DA,1
pratyupAhf,prati-upa-A,hf,1
pratyupe,prati-upa-A,i,5
pratyuz,prati,uz,1
pratyUh,prati,Uh,1
pratye,prati-A,i,5
pratyez,prati-A,Iz,1
pratras,pra,tras,1
pratvakz,pra,tvakz,
pratvar,pra,tvar,
pradakziRIkf,pradakziRI,kf,1
pradas,pra,das,
pradah,pra,dah,1
pradA,pra,dA,1
pradiS,pra,diS,1
pradih,pra,dih,1
pradIp,pra,dIp,
pradu,pra,du,2
praduz,pra,duz,2
pradF,pra,dF,
pradyut,pra,dyut,2
pradru,pra,dru,1
pradrek,pra,drek,
pradviz,pra,dviz,2
praDA,pra,DA,1
praDAv,pra,DAv,1
praDAv,pra,DAv,2
praDU,pra,DU,1
praDf,pra,Df,
praDfz,pra,Dfz,
praDmA,pra,DmA,
praDyE,pra,DyE,
praDraj,pra,Draj,
praDvaMs,pra,DvaMs,
praDvan,pra,Dvan,2
pranakz,pra,nakz,
pranaB,pra,naB,1
pranard,pra,nard,
praniBid,pra-ni,Bid,1
pranirakz,pra-ni,rakz,1
pranft,pra,nft,1
prapac,pra,pac,2
prapaW,pra,paW,
prapat,pra,pat,1
prapad,pra,pad,2
prapaS,pra,paS,3
prapA,pra,pA,1
prapA,pra,pA,3
prapinv,pra,pinv,
prapiz,pra,piz,
prapIq,pra,pIq,
prapuz,pra,puz,1
prapUj,pra,pUj,
prapfc,pra,pfc,1
prapF,pra,pF,
prapyE,pra,pyE,
praprajan,pra-pra,jan,
praprapF,pra-pra,pF,
praprarz,pra-pra,fz,1
prapravI,pra-pra,vI,1
praprasTA,pra-pra,sTA,1
praprAs,pra-prA,as,1
prapruT,pra,pruT,
prapre,pra-prA,i,5
praplu,pra,plu,
prabanD,pra,banD,
prabalIBU,prabalI,BU,1
prabAD,pra,bAD,
prabuD,pra,buD,
prabrU,pra,brU,
praBaj,pra,Baj,
praBaYj,pra,BaYj,1
praBA,pra,BA,1
praBAz,pra,BAz,1
praBAs,pra,BAs,1
praBid,pra,Bid,1
praBU,pra,BU,1
praBUz,pra,BUz,
praBf,pra,Bf,1
praBraMS,pra,BraMS,
praBram,pra,Bram,
praBrAj,pra,BrAj,1
pramajj,pra,majj,
pramaT,pra,maT,1
pramad,pra,mad,2
praman,pra,man,
pramand,pra,mand,1
pramA,pra,mA,2
prami,pra,mi,1
pramid,pra,mid,1
pramih,pra,mih,1
pramI,pra,mI,1
pramIl,pra,mIl,
pramIv,pra,mIv,1
pramuc,pra,muc,1
pramud,pra,mud,1
pramurC,pra,murC,
pramuz,pra,muz,1
pramuh,pra,muh,1
pramf,pra,mf,
pramfj,pra,mfj,1
pramfR,pra,mfR,
pramfd,pra,mfd,1
pramfS,pra,mfS,1
pramF,pra,mF,
pramlAnIBU,pramlAnI,BU,1
pramluc,pra,mluc,
pramlE,pra,mlE,
prayakz,pra,yakz,
prayaj,pra,yaj,1
prayat,pra,yat,2
prayaB,pra,yaB,
prayam,pra,yam,
prayas,pra,yas,
prayA,pra,yA,1
prayAc,pra,yAc,
prayu,pra,yu,2
prayuC,pra,yuC,
prayuj,pra,yuj,1
prayuD,pra,yuD,1
prarakz,pra,rakz,1
prarad,pra,rad,
prarap,pra,rap,
praram,pra,ram,
praric,pra,ric,
prarI,pra,rI,1
praru,pra,ru,1
praruc,pra,ruc,1
praruj,pra,ruj,1
prarud,pra,rud,1
praruD,pra,ruD,1
praruh,pra,ruh,1
prarUp,pra,rUp,
prarej,pra,rej,1
pralap,pra,lap,1
pralaB,pra,laB,
pralamb,pra,lamb,1
praliK,pra,liK,
pralip,pra,lip,
pralih,pra,lih,1
pralI,pra,lI,1
praluW,pra,luW,1
pralup,pra,lup,1
praluB,pra,luB,
pralU,pra,lU,1
pravac,pra,vac,
pravad,pra,vad,
pravan,pra,van,1
pravap,pra,vap,1
pravap,pra,vap,2
pravarR,pra,varR,
pravalg,pra,valg,
pravalh,pra,valh,
pravas,pra,vas,4
pravas,pra,vas,5
pravah,pra,vah,1
pravA,pra,vA,2
pravAS,pra,vAS,
pravAh,pra,vAh,1
pravikas,pra-vi,kas,1
pravikF,pra-vi,kF,1
pravigal,pra-vi,gal,1
pravigAh,pra-vi,gAh,
praviGaw,pra-vi,Gaw,
pravicakz,pra-vi,cakz,
pravicar,pra-vi,car,
pravical,pra-vi,cal,
pravici,pra-vi,ci,2
pravicint,pra-vi,cint,
pravicezw,pra-vi,cezw,
pravij,pra,vij,1
pravijfmB,pra-vi,jfmB,
pravijYA,pra-vi,jYA,1
pravid,pra,vid,1
pravid,pra,vid,3
praviduh,pra-vi,duh,1
praviDA,pra-vi,DA,1
pravinaS,pra-vi,naS,2
praviBaj,pra-vi,Baj,
praviBuj,pra-vi,Buj,1
pravimuc,pra-vi,muc,1
pravilaB,pra-vi,laB,
pravilamb,pra-vi,lamb,1
pravilas,pra-vi,las,1
pravilI,pra-vi,lI,1
pravilok,pra-vi,lok,
praviS,pra,viS,
praviSiz,pra-vi,Siz,1
pravistf,pra-vi,stf,1
pravihA,pra-vi,hA,3
pravI,pra,vI,1
pravf,pra,vf,1
pravf,pra,vf,2
pravfj,pra,vfj,1
pravft,pra,vft,1
pravfD,pra,vfD,
pravfz,pra,vfz,
pravfh,pra,vfh,1
prave,pra,ve,1
pravyaT,pra,vyaT,
pravyaD,pra,vyaD,
pravyas,pra-vi,as,2
pravyAhf,pra-vi-A,hf,1
pravraj,pra,vraj,
pravraSc,pra,vraSc,
pravlI,pra,vlI,
praSaMs,pra,SaMs,
praSak,pra,Sak,
praSam,pra,Sam,1
praSAs,pra,SAs,1
praSI,pra,SI,1
praSuc,pra,Suc,1
praSuB,pra,SuB,1
praSuz,pra,Suz,1
praSF,pra,SF,
praScut,pra,Scut,1
praSri,pra,Sri,1
praSru,pra,Sru,1
praSvas,pra,Svas,1
prazWiv,pra,zWiv,
prasaMKyA,pra-sam,KyA,
prasaMcakz,pra-sam,cakz,
prasaMDA,pra-sam,DA,1
prasac,pra,sac,1
prasaYj,pra,saYj,1
prasad,pra,sad,2
prasan,pra,san,1
prasamIkz,pra-sam,Ikz,
prasah,pra,sah,1
prasi,pra,si,1
prasic,pra,sic,1
prasiD,pra,siD,2
prasiD,pra,siD,3
prasiv,pra,siv,
prasU,pra,sU,1
prasU,pra,sU,2
prasUc,pra,sUc,
prasf,pra,sf,
prasfj,pra,sfj,1
prasfp,pra,sfp,
praskand,pra,skand,
prasKal,pra,sKal,
prastu,pra,stu,1
prastuB,pra,stuB,1
prastump,pra-s,tump,
prastf,pra,stf,1
prasTA,pra,sTA,1
prasnA,pra,snA,1
prasnu,pra,snu,1
praspand,pra,spand,
prasparD,pra,sparD,
prasPuw,pra,sPuw,
prasPur,pra,sPur,1
prasmi,pra,smi,
prasmf,pra,smf,2
prasyand,pra,syand,
prasraMs,pra,sraMs,1
prasru,pra,sru,
prasvap,pra,svap,1
prasvid,pra,svid,2
prasvf,pra,svf,
prahan,pra,han,1
prahas,pra,has,1
prahA,pra,hA,2
prahA,pra,hA,3
prahi,pra,hi,1
prahu,pra,hu,1
prahf,pra,hf,1
prahfz,pra,hfz,
prahlAd,pra,hlAd,
prahval,pra,hval,
prahve,pra,hve,
prAkf,prA,kf,1
prAd,prA,ad,1
prAdA,prA,dA,1
prAdru,prA,dru,1
prADI,pra-ADI,i,5
prAn,prA,an,2
prAp,prA,Ap,1
prAyA,prA,yA,1
prAyuD,prA,yuD,1
prAr,pra,f,4
prAraB,prA,raB,
prAruh,prA,ruh,1
prArc,prA,arc,1
prArC,pra,fC,
prArj,pra,fj,
prArYj,pra,fYj,1
prArT,prA,arT,
prArd,prA,ard,
prArD,pra,fD,
prArz,pra,fz,1
prArh,prA,arh,
prAv,prA,av,
prAvanij,pra-ava,nij,
prAvaso,pra-ava,so,1
prAviS,prA,viS,
prAvf,prA,vf,1
prASvas,prA,Svas,1
prAs,prA,as,1
prAs,prA,as,1
prAh,prA,ah,2
priyAkf,priyA,kf,1
priyAmuKIBU,priyAmuKI,BU,1
pre,prA,i,5
prekz,pra,Ikz,
preNK,pra,INK,
preq,pra,Iq,1
prenv,prA,inv,
premarASIBU,premarASI,BU,1
prer,pra,Ir,
prez,prA,iz,1
prED,pra,eD,
prokz,prA,ukz,1
proccar,pra-ud,car,
proccal,pra-ud,cal,
procCal,pra-ud,Sal,1
procCvas,pra-ud,Svas,1
projjval,pra-ud,jval,
projJ,pra,ujJ,
proYC,pra,uYC,
proqqI,pra-ud,qI,
protkUj,pra-ud,kUj,
protKan,pra-ud,Kan,
protKE,pra-ud,KE,
prottF,pra-ud,tF,
protTA,pra-ud,sTA,1
protpat,pra-ud,pat,1
protpad,pra-ud,pad,1
protsad,pra-ud,sad,2
protsah,pra-ud,sah,1
protsf,pra-ud,sf,
protsfj,pra-ud,sfj,1
protsfp,pra-ud,sfp,
prodi,pra-ud,i,5
prodDA,pra-ud,hA,2
prodDf,pra-ud,hf,1
prodyam,pra-ud,yam,
prodvah,pra-ud,vah,1
prodvij,pra-ud,vij,1
pronnad,pra-ud,nad,
pronnam,pra-ud,nam,
pronnI,pra-ud,nI,2
pronmaT,pra-ud,maT,1
pronmad,pra-ud,mad,2
pronmIl,pra-ud,mIl,
proB,pra,uB,
prorRu,prA,UrRu,
prollaNG,pra-ud,laNG,
prollas,pra-ud,las,1
prolliK,pra-ud,liK,
proh,prA,Uh,1
prOQIBU,prOQI,BU,1
PalIkf,PalI,kf,1
PalIBU,PalI,BU,1
Putkf,Put,kf,1
baDirIkf,baDirI,kf,1
bahalIBU,bahalI,BU,1
bahulIBU,bahulI,BU,1
bIjAkf,bIjA,kf,1
brAhmaRIBU,brAhmaRI,BU,1
BadrAkf,BadrA,kf,1
BasmAkf,BasmA,kf,1
BasmIkf,BasmI,kf,1
BasmIBU,BasmI,BU,1
BAgIkf,BAgI,kf,1
BAvayatIBU,BAvayatI,BU,1
BImaBavIBU,BImaBavI,BU,1
BftyIBU,BftyI,BU,1
BfSIBU,BfSI,BU,1
maYjarIkf,maYjarI,kf,1
matIkf,matI,kf,1
madBU,mad,BU,1
madrAkf,madrA,kf,1
manIkf,manI,kf,1
manujIkf,manujI,kf,1
mantravaSIkf,mantravaSI,kf,1
mandIkf,mandI,kf,1
mandIBU,mandI,BU,1
mayUrIBU,mayUrI,BU,1
marUBU,marU,BU,1
martyIBU,martyI,BU,1
maryAdIkf,maryAdI,kf,1
malinIkf,malinI,kf,1
malinIBU,malinI,BU,1
mazmazAkf,mazmazA,kf,1
mahIkf,mahI,kf,1
mAYjizWIkf,mAYjizWI,kf,1
mAtrIkf,mAtrI,kf,1
mAnuzIBU,mAnuzI,BU,1
mArdavIkf,mArdavI,kf,1
mAsIkf,mAsI,kf,1
mitrIkf,mitrI,kf,1
mitrIBU,mitrI,BU,1
miTunIkf,miTunI,kf,1
miTunIBU,miTunI,BU,1
miSrIkf,miSrI,kf,1
miSrIBU,miSrI,BU,1
mukulIkf,mukulI,kf,1
muKarIkf,muKarI,kf,1
muYjIkf,muYjI,kf,1
muzwIkf,muzwI,kf,1
musalIBU,musalI,BU,1
mUkIkf,mUkI,kf,1
mUrKIBU,mUrKI,BU,1
mUlIkf,mUlI,kf,1
mfdUas,mfdU,as,1
mfdUBU,mfdU,BU,1
meKalIkf,meKalI,kf,1
moGIkf,moGI,kf,1
yAnIkf,yAnI,kf,1
yUTIkf,yUTI,kf,1
yUpIkf,yUpI,kf,1
rajIkf,rajI,kf,1
rajjUkf,rajjU,kf,1
rahIkf,rahI,kf,1
rahIBU,rahI,BU,1
rAjamArgIkf,rAjamArgI,kf,1
rASIkf,rASI,kf,1
rASIBU,rASI,BU,1
riktIkf,riktI,kf,1
rUpIkf,rUpI,kf,1
rEkf,rE,kf,1
lakzIkf,lakzI,kf,1
lakzIBU,lakzI,BU,1
lakzyIkf,lakzyI,kf,1
lakzyIBU,lakzyI,BU,1
laGUkf,laGU,kf,1
liptIkf,liptI,kf,1
lohitIBU,lohitI,BU,1
vakrIkf,vakrI,kf,1
vakrIBU,vakrI,BU,1
vajrasArIkf,vajrasArI,kf,1
varaDarmIkf,varaDarmI,kf,1
varRIBU,varRI,BU,1
vartIkf,vartI,kf,1
valayIkf,valayI,kf,1
valayIBU,valayI,BU,1
vaSIkf,vaSI,kf,1
vaSIBU,vaSI,BU,1
vahanIkf,vahanI,kf,1
vahnisAtkf,vahnisAt,kf,1
vAjIkf,vAjI,kf,1
vAntIkf,vAntI,kf,1
vAmIkf,vAmI,kf,1
vAlavyajanIBU,vAlavyajanI,BU,1
vAhanIkf,vAhanI,kf,1
vAhanIBU,vAhanI,BU,1
vikacIkf,vikacI,kf,1
vikawIkf,vikawI,kf,1
vikatT,vi,katT,
vikamp,vi,kamp,
vikalIkf,vikalI,kf,1
vikas,vi,kas,1
vikANkz,vi,kANkz,
vikAS,vi,kAS,
vikUj,vi,kUj,
vikf,vi,kf,1
vikft,vi,kft,2
vikfz,vi,kfz,1
vikF,vi,kF,1
vikxp,vi,kxp,
vikram,vi,kram,
vikrI,vi,krI,1
vikrIq,vi,krIq,
vikruS,vi,kruS,
viklav,vi,klav,
viklavIkf,viklavI,kf,1
viklavIBU,viklavI,BU,1
vikzar,vi,kzar,
vikzi,vi,kzi,4
vikzip,vi,kzip,1
vikzuD,vi,kzuD,1
vikzuB,vi,kzuB,1
viKan,vi,Kan,
viKid,vi,Kid,
viKyA,vi,KyA,
vigaR,vi,gaR,
vigam,vi,gam,1
vigarj,vi,garj,
vigarh,vi,garh,
vigal,vi,gal,1
vigAh,vi,gAh,
viguRIkf,viguRI,kf,1
vigE,vi,gE,
vigraT,vi,graT,1
vigrah,vi,grah,
viGaw,vi,Gaw,
viGaww,vi,Gaww,
viGUrR,vi,GUrR,
viGrA,vi,GrA,
vicakz,vi,cakz,
vicaw,vi,caw,
vicar,vi,car,
vical,vi,cal,
vici,vi,ci,1
vici,vi,ci,2
vicit,vi,cit,4
vicint,vi,cint,
vicumb,vi,cumb,2
vicUrR,vi,cUrR,
vicUrRIBU,vicUrRI,BU,1
vicft,vi,cft,
vicezw,vi,cezw,
vicCad,vi,Cad,1
vicCad,vi,Cad,1
vicCAyIkf,vicCAyI,kf,1
vicCid,vi,Cid,
vicCo,vi,Co,
vijan,vi,jan,
viji,vi,ji,1
vijIv,vi,jIv,
vijfmB,vi,jfmB,
vijYA,vi,jYA,1
viqamb,vi,qamb,
vitakz,vi,takz,1
vitaq,vi,taq,
vitatIkf,vitatI,kf,1
vitaTIkf,vitaTI,kf,1
vitan,vi,tan,1
vitap,vi,tap,1
vitark,vi,tark,
vitAnIkf,vitAnI,kf,1
vitAnIBU,vitAnI,BU,1
vitud,vi,tud,1
vituzIkf,vituzI,kf,1
vitfd,vi,tfd,
vitfp,vi,tfp,1
vitfz,vi,tfz,1
vitF,vi,tF,
vitras,vi,tras,1
vidaMS,vi,daMS,1
viday,vi,day,
vidal,vi,dal,
vidas,vi,das,
vidah,vi,dah,1
vidA,vi,dA,1
vidA,vi,dA,1
vidAS,vi,dAS,1
vidiv,vi,div,1
vidIp,vi,dIp,
vidu,vi,du,1
viduz,vi,duz,2
viduh,vi,duh,1
vidUrIBU,vidUrI,BU,1
vidF,vi,dF,
vidyut,vi,dyut,2
vidru,vi,dru,1
vidruh,vi,druh,1
vidrE,vi,drE,
vidviz,vi,dviz,2
viDanIkf,viDanI,kf,1
viDam,vi,Dam,
viDA,vi,DA,1
viDAv,vi,DAv,1
viDU,vi,DU,1
viDf,vi,Df,
viDmA,vi,DmA,
viDvaMs,vi,DvaMs,
vinad,vi,nad,
vinand,vi,nand,
vinam,vi,nam,
vinard,vi,nard,
vinaS,vi,naS,1
vinaS,vi,naS,1
viniHSvas,vi-nis,Svas,1
viniHsf,vi-nis,sf,
vinikf,vi-ni,kf,1
vinikft,vi-ni,kft,2
vinikz,vi,nikz,
vinikzip,vi-ni,kzip,1
vinigad,vi-ni,gad,
viniguh,vi-ni,guh,1
viniDA,vi-ni,DA,1
viniDf,vi-ni,Df,
viniDvaMs,vi-ni,DvaMs,
vinind,vi,nind,
vinipat,vi-ni,pat,1
viniyam,vi-ni,yam,
viniyuj,vi-ni,yuj,1
vinirgam,vi-nis,gam,1
vinirji,vi-nis,ji,1
vinirdah,vi-nis,dah,1
vinirdiS,vi-nis,diS,1
vinirmuc,vi-nis,muc,1
viniryA,vi-nis,yA,1
vinirliK,vi-nis,liK,
vinirvam,vi-nis,vam,
vinirhf,vi-nis,hf,1
vinivft,vi-ni,vft,1
viniScar,vi-nis,car,
viniSvas,vi-ni,Svas,1
vinizad,vi-ni,sad,2
vinizkram,vi-nis,kram,
vinizwan,vi-ni,stan,
vinizWiv,vi-ni,zWiv,
vinizpaw,vi-nis,paw,
vinizpat,vi-nis,pat,1
vinizpiz,vi-nis,piz,
vinizpIq,vi-nis,pIq,
vinihan,vi-ni,han,1
vinihnu,vi-ni,hnu,
vinI,vi,nI,2
vinu,vi,nu,3
vinud,vi,nud,
vinft,vi,nft,1
vinyas,vi-ni,as,1
vipakzIkf,vipakzI,kf,1
vipac,vi,pac,1
vipaw,vi,paw,
vipaW,vi,paW,
vipaR,vi,paR,
vipat,vi,pat,1
vipad,vi,pad,1
viparikram,vi-pari,kram,
viparigA,vi-pari,gA,1
viparidru,vi-pari,dru,1
vipariDA,vi-pari,DA,1
vipariDAv,vi-pari,DAv,1
viparipat,vi-pari,pat,1
viparivft,vi-pari,vft,1
viparihf,vi-pari,hf,1
viparI,vi-pari,i,5
vipare,vi-parA,i,5
viparyas,vi-pari,as,1
viparyAvft,vi-pari-A,vft,1
viparyUh,vi-pari,Uh,1
vipaS,vi,paS,3
vipA,vi,pA,1
vipiS,vi,piS,1
vipulIkf,vipulI,kf,1
vipU,vi,pU,1
vipfc,vi,pfc,1
vipfzWIBU,vipfzWI,BU,1
viprakf,vipra,kf,1
viprakfz,vipra,kfz,1
vipraC,vi,praC,
vipratikf,vi-prati,kf,1
vipratipad,vi-prati,pad,1
vipratiBA,vi-prati,BA,1
vipraT,vi,praT,1
vipraduh,vipra,duh,1
vipradru,vipra,dru,1
vipraDAv,vipra,DAv,1
vipramuc,vipra,muc,1
viprayuj,vipra,yuj,1
vipralap,vipra,lap,1
vipralaB,vipra,laB,
vipralup,vipra,lup,1
vipraluB,vipra,luB,
vipravad,vipra,vad,
vipravas,vipra,vas,2
vipravraj,vipra,vraj,
viprasAtkf,viprasAt,kf,1
viprasf,vipra,sf,
viprasfp,vipra,sfp,
viprasTA,vipra,sTA,1
viprahA,vipra,hA,2
vipru,vi,pru,
vipre,vipra,i,5
viprekz,vipra,Ikz,
viplu,vi,plu,
viPalIkf,viPalI,kf,1
viPalIBU,viPalI,BU,1
vibanD,vi,banD,
vibAD,vi,bAD,
vibuD,vi,buD,
vibfh,vi,bfh,1
vibfh,vi,bfh,1
vibrU,vi,brU,
viBaj,vi,Baj,
viBaYj,vi,BaYj,1
viBA,vi,BA,1
viBAgIkf,viBAgI,kf,1
viBAz,vi,BAz,1
viBAs,vi,BAs,1
viBid,vi,Bid,1
viBinnIkf,viBinnI,kf,1
viBI,vi,BI,1
viBU,vi,BU,1
viBUz,vi,BUz,
